_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.3721779729401	+08.9819872997259	086.37218083797	0.1680	+08.98198688701	0.1542	3336088840414821888	0.2719	0.1948	0.657	0.348	-0.096	0.290	0	8.9174e+02	2.3607e+00	18.3128	0.0029	3.7758e+02	7.7220e+00	18.9089	0.0222	7.8533e+02	8.7604e+00	17.5243	0.0121	1.3846							
086.3302885494722	+09.0055283379792	086.33028986388	0.7138	+09.00552425352	0.6408	3336089085227588864	-1.1091	0.8934	0.302	2.017	-0.949	2.002	0	1.2738e+02	1.4506e+00	20.4256	0.0124	6.2365e+01	1.4915e+01	20.8640	0.2597	1.2120e+02	7.6558e+00	19.5532	0.0686	1.3108							
086.3477874536359	+08.9928488796082	086.34778745364	0.4865	+08.99284887961	0.4509	3336089016508111360							0	4.0521e+02	2.9968e+00	19.1692	0.0080																
086.3478973114342	+08.9925777394285	086.34791061826	0.1058	+08.99257064810	0.0996	3336089012213521152	0.2702	0.1485	3.053	0.217	-1.647	0.210	0	2.1834e+03	3.1344e+00	17.3405	0.0016	1.1312e+03	1.4330e+01	17.7175	0.0138	2.0527e+03	1.2026e+01	16.4811	0.0064	1.2364							
086.3167582150177	+08.9962485214877	086.31673718878	1.1138	+08.99625185933	0.9798	3336089050869162880	2.5351	1.4471	-4.823	3.718	0.775	3.598	0	9.2111e+01	1.1262e+00	20.7776	0.0133	5.6333e+01	1.7255e+01	20.9745	0.3326	1.6336e+02	1.0321e+01	19.2291	0.0686	1.7454							
086.3307935387893	+08.9864792156053	086.33079353879	3.4844	+08.98647921561	3.4008	3336088982150198656							0	8.5286e+01	1.7888e+00	20.8612	0.0228	6.0614e+01	2.3930e+01	20.8950	0.4286	1.5464e+02	1.6982e+01	19.2886	0.1192	1.6064							
086.3281673108385	+08.9876607979214	086.32816508282	0.3274	+08.98765478083	0.2977	3336089046573256064	0.0138	0.4082	-0.511	0.903	-1.398	0.965	0	4.0726e+02	1.7698e+00	19.1637	0.0047	2.0235e+02	7.0731e+00	19.5861	0.0380	3.3590e+02	1.3036e+01	18.4464	0.0421	1.1397							
086.3639143285250	+09.0162338695741	086.36390545849	0.3987	+09.01622573237	0.3673	3336089149652486016	-0.3642	0.4569	-2.035	0.986	-1.890	0.997	0	3.3393e+02	1.5632e+00	19.3792	0.0051	1.1596e+02	7.8628e+00	20.1906	0.0736	3.5179e+02	1.1029e+01	18.3962	0.0340	1.7944							
086.3621185303986	+09.0126687480962	086.36212803333	0.0937	+09.01265755223	0.0863	3336089149652484608	0.1237	0.1101	2.180	0.189	-2.600	0.158	0	3.4108e+03	3.7604e+00	16.8562	0.0012	1.1744e+03	1.6980e+01	17.6768	0.0157	3.3967e+03	1.5483e+01	15.9343	0.0049	1.7425			4146.19				
086.3584826116660	+09.0010642743187	086.35848750413	0.1865	+09.00106095050	0.1776	3336089115292740352	0.3977	0.2468	1.122	0.367	-0.772	0.309	0	9.6512e+02	2.2698e+00	18.2269	0.0026	3.5344e+02	9.8837e+00	18.9806	0.0304	9.2961e+02	1.2870e+01	17.3412	0.0150	1.6394							
