_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.3739890290127	+08.9542416319961	086.37398902901	1.8815	+08.95424163200	1.9156	3336087985717270016							0	7.4484e+01	1.1421e+00	21.0082	0.0166																
086.3821441473892	+08.9581234014308	086.38214414739	2.6693	+08.95812340143	2.4689	3336087916997791104							0	1.0010e+02	1.4424e+00	20.6873	0.0156	3.7024e+01	2.1179e+00	21.4302	0.0621	1.0333e+02	1.1776e+01	19.7263	0.1237	1.7039							
086.3856297766680	+08.9489412985996	086.38561010485	0.8427	+08.94894172292	0.7726	3336087916996490368	2.3473	1.0347	-4.513	2.194	0.099	2.183	0	1.2990e+02	1.1929e+00	20.4043	0.0100	4.8893e+01	7.0784e+00	21.1283	0.1572	1.6895e+02	3.0822e+01	19.1925	0.1981	1.9357							
086.3810478086550	+08.9410564215344	086.38103867600	0.7506	+08.94105226803	0.6739	3336087882636754816	-0.4791	0.9426	-2.095	2.069	-0.965	2.070	0	1.2617e+02	1.2389e+00	20.4360	0.0107	7.3303e+01	1.6427e+01	20.6886	0.2433	1.5062e+02	8.1893e+00	19.3172	0.0590	1.3714							
086.3567259603483	+08.9506168559489	086.35672596035	2.1644	+08.95061685595	2.0342	3336087951357537664							0	9.4238e+01	1.5076e+00	20.7528	0.0174	5.0574e+01	1.1423e+01	21.0916	0.2452	1.1138e+02	4.6501e+00	19.6449	0.0453	1.4466							
086.3751703017159	+08.9663443022945	086.37517625241	0.0465	+08.96633938501	0.0440	3336087981421348480	0.4120	0.0578	1.365	0.087	-1.142	0.071	0	1.1550e+04	1.1898e+01	15.5319	0.0011	6.0250e+03	1.2886e+01	15.9015	0.0023	8.2736e+03	2.7168e+01	14.9677	0.0036	0.9338			5340.33				
086.3697418934287	+08.9654834469454	086.36974346836	0.2605	+08.96547729436	0.2302	3336087981421347712	-0.4497	0.3163	0.361	0.666	-1.429	0.624	0	5.6177e+02	1.5200e+00	18.8145	0.0029	2.7633e+02	2.3483e+01	19.2478	0.0923	4.9135e+02	5.7140e+00	18.0334	0.0126	1.2144							
086.3805381167669	+08.9468608373896	086.38054117106	0.0671	+08.94686374333	0.0619	3336087916998871680	0.5663	0.0789	0.701	0.135	0.675	0.113	0	4.3890e+03	3.5401e+00	16.5824	0.0009	2.0827e+03	1.4319e+01	17.0548	0.0075	3.4004e+03	9.9775e+00	15.9331	0.0032	1.1217			5026.95	0.5535	0.2565	1.02	0.593
086.3691575053446	+08.9478371935277	086.36915983131	0.6744	+08.94783840282	0.6126	3336087947061597696	1.5190	0.8323	0.534	1.748	0.281	1.764	0	1.6420e+02	1.1887e+00	20.1499	0.0079	7.2560e+01	9.5994e+00	20.6996	0.1436	1.6955e+02	7.7539e+00	19.1887	0.0497	1.5110							
086.3596788255611	+08.9490082595219	086.35966255591	0.8046	+08.94902143607	0.7401	3336087951357537408	1.7338	0.9800	-3.733	2.101	3.060	2.124	0	1.2555e+02	1.2572e+00	20.4413	0.0109	6.0431e+01	1.0864e+01	20.8982	0.1952	1.1834e+02	1.3311e+01	19.5791	0.1221	1.3191							
